Reference,Value,Package,MidX,MidY,Rotation,Layer
"S1","TS5216A 160gf 025","TS18525SL260SMTTR",146.225000,-88.650000,0.000000,bottom
"C1","2u2","C_0805_2012Metric",136.400000,-48.900000,-90.000000,top
"C2","100n","C_0603_1608Metric",158.125000,-87.350000,90.000000,top
"C3","22u","C_0805_2012Metric",175.925000,-75.850000,0.000000,top
"C4","100n","C_0603_1608Metric",175.825000,-73.850000,0.000000,top
"C5","4u7","C_0805_2012Metric",180.000000,-51.075000,-90.000000,top
"C9","10n","C_0603_1608Metric",185.400000,-46.375000,0.000000,top
"C10","10n","C_0603_1608Metric",128.000000,-56.750000,0.000000,top
"C11","10n","C_0603_1608Metric",181.550000,-55.700000,-90.000000,top
"C13","4u7","C_0805_2012Metric",107.000000,-53.250000,180.000000,top
"C20","1u","C_0805_2012Metric",176.725000,-66.484966,180.000000,top
"C21","1u","C_0805_2012Metric",181.825000,-69.564966,180.000000,top
"C22","100n","C_0603_1608Metric",159.925000,-90.810000,-90.000000,top
"C23","22u","C_0805_2012Metric",162.160000,-90.850000,-90.000000,top
"C26","4u7","C_0805_2012Metric",108.525000,-48.050000,0.000000,top
"C27","4u7","C_0805_2012Metric",107.000000,-50.250000,180.000000,top
"C28","4u7","C_0805_2012Metric",107.000000,-55.400000,0.000000,top
"C30","10u","C_0805_2012Metric",106.800000,-60.050000,180.000000,top
"C31","100n","C_0603_1608Metric",159.925000,-87.350000,90.000000,top
"C32","22u","C_0805_2012Metric",106.800000,-57.850000,0.000000,top
"C33","4u7","C_0805_2012Metric",112.600000,-61.800000,90.000000,top
"C34","4u7","C_0805_2012Metric",114.800000,-61.800000,-90.000000,top
"C35","10u","C_0805_2012Metric",123.600000,-60.200000,-90.000000,top
"C36","22u","C_0805_2012Metric",121.400000,-60.200000,90.000000,top
"C42","22u","C_0805_2012Metric",171.712100,-58.675000,-90.000000,top
"C43","10u","C_0805_2012Metric",168.625000,-55.650000,0.000000,top
"C45","4u7","C_0805_2012Metric",117.000000,-61.800000,90.000000,top
"C46","2u2","C_0805_2012Metric",136.603000,-56.392200,-90.000000,top
"C47","100n","C_0603_1608Metric",128.000000,-53.900000,180.000000,top
"C48","100n","C_0603_1608Metric",127.950000,-51.000000,0.000000,top
"C49","10n","C_0603_1608Metric",128.053000,-48.392200,0.000000,top
"C50","10u","C_0805_2012Metric",126.575000,-40.500000,90.000000,top
"C51","4u7","C_0805_2012Metric",116.630000,-43.250000,-90.000000,top
"C52","4u7","C_0805_2012Metric",127.500000,-44.425000,180.000000,top
"C53","4u7","C_0805_2012Metric",114.280000,-43.270000,-90.000000,top
"C54","1uF/25V","C_0805_2012Metric",107.450000,-69.850000,0.000000,top
"C55","1uF/25V","C_0805_2012Metric",102.800000,-69.900000,180.000000,top
"C56","1uF/50V","C_0805_2012Metric",116.750000,-81.875000,-90.000000,top
"C57","1uF/50V","C_0805_2012Metric",112.745000,-87.000000,90.000000,top
"C58","1uF/25V","C_0805_2012Metric",113.600000,-73.725000,180.000000,top
"C59","10u","C_0805_2012Metric",104.475000,-72.480000,180.000000,top
"D1","BAS3010B-03W","D_SOD-323",119.300000,-61.800000,90.000000,top
"D7","BAV99,215","SOT-23TO-236_318-08_ONS-M",132.655500,-57.100000,180.000000,top
"D8","BAV99,215","SOT-23TO-236_318-08_ONS-M",132.500000,-48.100000,0.000000,top
"D9","BAS3010B-03W","D_SOD-323",119.125000,-44.300000,-90.000000,top
"IC1","ESP32-S3-WROOM-1-N8R2","ESP32S3WROOM1N8R2",144.700000,-86.080000,180.000000,top
"IC2","TPS65185RSLT","QFN40P600X600X100-49N-D",118.000000,-52.700000,0.000000,top
"IC4","AP61100","SOTFL50P162X60-6N",168.287100,-58.400000,180.000000,top
"J2","5023520300","CONN03_502352_MOL",194.525000,-64.650000,90.000000,top
